SentimentDate,Subject,AvgRawSentiment,NormalizedSentimentScore
2024-12-13,dave mccormick,,
2024-12-13,deb fischer,,
2024-12-13,ed markey,,
2024-12-13,james lankford,,
2024-12-13,jon tester,,
2024-12-13,kyrsten sinema,,
2024-12-13,maria cantwell,,
2024-12-13,martin heinrich,,
2024-12-13,roger wicker,,
2024-12-13,ted budd,,
2024-12-14,alex mooney,,
2024-12-14,ben sasse,,
2024-12-14,chris coons,,
2024-12-14,dave mccormick,,
2024-12-14,eric schmitt,,
2024-12-14,jacky rosen,,
2024-12-14,kyrsten sinema,,
2024-12-14,roger wicker,,
2024-12-14,ted budd,,
2024-12-15,alex mooney,,
2024-12-15,ben sasse,,
2024-12-15,carper,,
2024-12-15,chris coons,,
2024-12-15,dianne feinstein,,
2024-12-15,jerry moran,,
2024-12-15,kyrsten sinema,,
2024-12-15,roger wicker,,
2024-12-15,ted budd,,
2024-12-16,ben sasse,,
2024-12-16,carper,,
2024-12-16,chris coons,,
2024-12-16,dianne feinstein,,
2024-12-16,eric schmitt,,
2024-12-16,jim risch,,
2024-12-16,kyrsten sinema,,
2024-12-17,carper,,
2024-12-17,deb fischer,,
2024-12-17,dianne feinstein,,
2024-12-17,ed markey,,
2024-12-17,eric schmitt,,
2024-12-17,evan bayh,,
2024-12-17,jerry moran,,
2024-12-17,jim risch,,
2024-12-17,lincoln chafee,,
2024-12-17,martin heinrich,,
2024-12-17,roger wicker,,
2024-12-17,ted budd,,
2024-12-18,carper,,
2024-12-18,chris coons,,
2024-12-18,dave mccormick,,
2024-12-18,deb fischer,,
2024-12-18,dianne feinstein,,
2024-12-18,ed markey,,
2024-12-18,jacky rosen,,
2024-12-18,jerry moran,,
2024-12-18,joe manchin,,
2024-12-18,john hickenlooper,,
2024-12-18,kyrsten sinema,,
2024-12-18,lincoln chafee,,
2024-12-18,martin heinrich,,
2024-12-18,steve daines,,
2024-12-19,carper,,
2024-12-19,chris coons,,
2024-12-19,dianne feinstein,,
2024-12-19,ed markey,,
2024-12-19,jerry moran,,
2024-12-19,joe manchin,,
2024-12-19,john hickenlooper,,
2024-12-19,kyrsten sinema,,
2024-12-19,laphonza butler,,
2024-12-19,lincoln chafee,,
2024-12-20,alex mooney,,
2024-12-20,carper,,
2024-12-20,chris coons,,
2024-12-20,dave mccormick,,
2024-12-20,ed markey,,
2024-12-20,joe manchin,,
2024-12-20,john hickenlooper,,
2024-12-20,kyrsten sinema,,
2024-12-20,roger wicker,,
2024-12-20,ted budd,,
2024-12-21,alex mooney,,
2024-12-21,carper,,
2024-12-21,chris coons,,
2024-12-21,ed markey,,
2024-12-21,kyrsten sinema,,
2024-12-21,martin heinrich,,
2024-12-21,ted budd,,
2024-12-22,carper,,
2024-12-22,chris coons,,
2024-12-22,dave mccormick,,
2024-12-22,dianne feinstein,,
2024-12-22,ed markey,,
2024-12-22,eric schmitt,,
2024-12-22,evan bayh,,
2024-12-22,joe manchin,,
2024-12-22,kyrsten sinema,,
2024-12-22,roger wicker,,
2024-12-23,carper,,
2024-12-23,chris coons,,
2024-12-23,dave mccormick,,
2024-12-23,dianne feinstein,,
2024-12-23,eric schmitt,,
2024-12-23,frank lautenberg,,
2024-12-23,joe manchin,,
2024-12-23,john hickenlooper,,
2024-12-23,kyrsten sinema,,
2024-12-23,roger wicker,,
2024-12-23,ted budd,,
2024-12-24,carper,,
